id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
35,LCCC12701,"80 x 2A",,Nos,OEM,PULLEY,PULLEYS/BEARINGS
36,LCCC12702,"85x 2A",,Nos,OEM,PULLEY,PULLEYS/BEARINGS
37,LCCH30005,"HEX HEAD BOLT GI M6 x 40",,Nos,OEM,,FASTENERS
38,LCCE26933,"BHARATH BIJILEE 15 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE2",,Nos,"BHARATH BIJILEE",,MOTOR
39,LCCC13308,"BELT A-26",,Nos,OEM,,BELT
40,LAHC24105,"HRW 900 - MS270A",,Nos,DRI,,"HEAT RECOVERY WHEEL"
41,LCCE26704,"SIEMENS 0.75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,SIEMENS,,MOTOR
42,LAHC24106,"HRW 1000 - MS270A",,Nos,DRI,,"HEAT RECOVERY WHEEL"
43,LCCC12703,"90x 2A",,Nos,OEM,PULLEY,PULLEYS/BEARINGS
44,LAHC11006,"KAT 10/10 S KRUGER MAKE",,Nos,KRUGER,,FAN
45,LCCH30006,"HEX HEAD BOLT GI M8 x 40",,Nos,OEM,,FASTENERS
46,LCCE26841,"BHARATH BIJILEE 0.25 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1",,Nos,"BHARATH BIJILEE",,MOTOR
47,LAHC11007,"KAT 12/9 S KRUGER MAKE",,Nos,KRUGER,,FAN
48,LAHC11008,"KAT 12/12 S KRUGER MAKE",,Nos,KRUGER,,FAN
49,LCCE26775,"SIEMENS 22 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2",,Nos,SIEMENS,,MOTOR
50,LCCE26957,"BHARATH BIJILEE 37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2",,Nos,"BHARATH BIJILEE",,MOTOR
51,LAHC14303,"ALUMINIUM FILTER FRAME 610 X 305 MM",,Nos,OEM,"FILTER FRAME",FILTER
52,LCCC13309,"BELT A-27",,Nos,OEM,,BELT
53,LCCE26649,"CG 5.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3",,Nos,CG,,MOTOR
54,LCCC12704,"95x 2A",,Nos,OEM,PULLEY,PULLEYS/BEARINGS
55,LCCE26767,"SIEMENS 2.2 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2",,Nos,SIEMENS,,MOTOR
56,LCCE26475,"ABB 22 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3",,Nos,ABB,,MOTOR
57,LCCC13310,"BELT A-28",,Nos,OEM,,BELT
58,LCCE26542,"CG 0.37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2",,Nos,CG,,MOTOR
59,LAHC24107,"HRW 1100 - MS270A",,Nos,DRI,,"HEAT RECOVERY WHEEL"
60,LAHC11009,"KAT 15/11 S KRUGER MAKE",,Nos,KRUGER,,FAN
61,LCCC12705,"100x 2A",,Nos,OEM,PULLEY,PULLEYS/BEARINGS
62,LCCE26317,"ABB 37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1",,Nos,ABB,,MOTOR
63,LCCE26619,"CG 55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE3",,Nos,CG,,MOTOR
64,LAHC14304,"ALUMINIUM FILTER FRAME 508 X 305 MM",,Nos,OEM,"FILTER FRAME",FILTER
65,LAHC11010,"KAT 15/15 S KRUGER MAKE",,Nos,KRUGER,,FAN
66,LCCC12706,"106x 2A",,Nos,OEM,PULLEY,PULLEYS/BEARINGS
67,LCCE26627,"CG 2.2 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3",,Nos,CG,,MOTOR
68,LAHC24108,"HRW 1200 - MS270A",,Nos,DRI,,"HEAT RECOVERY WHEEL"
69,LCCC13311,"BELT A-29",,Nos,OEM,,BELT
70,LCCE26874,"BHARATH BIJILEE 18.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1",,Nos,"BHARATH BIJILEE",,MOTOR
71,LCCC13312,"BELT A-30",,Nos,OEM,,BELT
72,LAHC24109,"HRW 1300 - MS270A",,Nos,DRI,,"HEAT RECOVERY WHEEL"
73,LCCE26902,"BHARATH BIJILEE 0.37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2",,Nos,"BHARATH BIJILEE",,MOTOR
74,LCCE26376,"ABB 30 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2",,Nos,ABB,,MOTOR
75,LAHC11011,"KAT 18/13 S KRUGER MAKE",,Nos,KRUGER,,FAN
76,LCCH30007,"HEX HEAD BOLT GI M10 x 40",,Nos,OEM,,FASTENERS
