id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
521,LAHC15523,FAN FLEXIBLE 9/8,,Nos,OEM,,ANTI-VIBRATIONS
522,LAHC23712,ALUMINUM MOUNTING PROFILE - FAN/MOTOR MOUNTING 40-40 (FMB00-02),,Meters,OEM,,ALUMINIUM PROFILES
523,LCCE26523,CG 0.55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1,,Nos,CG,,MOTOR
524,LAHC11063,FDA 200 CM KRUGER MAKE,,Nos,KRUGER,,FAN
525,LCCC16901,M.S.WELDING RODS,,Nos,OEM,,CONSUMABLES
526,LCCC13383,BELT A-110,,Nos,OEM,,BELT
527,LCCE26405,ABB 1.1 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
528,LAHC15223,Mist Eliminator - Single Pass Plastic,,Nos,OEM,Eliminator,PLASTIC PARTS
529,LCCE26964,BHARATH BIJILEE 0.75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE3,,Nos,BHARATH BIJILEE,,MOTOR
530,LCCE26516,CG 30 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1,,Nos,CG,,MOTOR
531,LCCE26318,ABB 45 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1,,Nos,ABB,,MOTOR
532,LCCE26567,CG 2.2 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE2,,Nos,CG,,MOTOR
533,LAHC11064,FDA 225 CM KRUGER MAKE,,Nos,KRUGER,,FAN
534,LCCE26328,ABB 3.7 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1,,Nos,ABB,,MOTOR
535,LAHC11065,FDA 250 CM KRUGER MAKE,,Nos,KRUGER,,FAN
536,LCCE26458,ABB 45 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3,,Nos,ABB,,MOTOR
537,LCCE27019,BHARATH BIJILEE 55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3,,Nos,BHARATH BIJILEE,,MOTOR
538,LAHC14345,BAG FILTER EU8 GRADE - 490 MM (W) x 592 MM (H) x 635MM (D),,Nos,OEM,BAG FILTER,FILTER
539,LAHC23708,ALUMINUM OMEGA PROFILE - 40-25 MM SQUARE TBK,Omega Profile,Meters,OEM,40-25 TBK,ALUMINIUM PROFILES
540,LCCR07509,GI sheet 0.8mm THK 180 GSM,0.8,Kgs,OEM,,G.I / COATED SHEETS
541,LAHC11066,FDA 280 CM KRUGER MAKE,,Nos,KRUGER,,FAN
542,LAHC14346,BAG FILTER EU8 GRADE - 592 MM (W) x 490 MM (H) x 635MM (D),,Nos,OEM,BAG FILTER,FILTER
543,LCCE26643,CG 0.55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3,,Nos,CG,,MOTOR
544,LAHC24129,HRW 1100 - MS200,,Nos,DRI,,HEAT RECOVERY WHEEL
545,LCCE26772,SIEMENS 11 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,SIEMENS,,MOTOR
546,LCCC13384,BELT A-112,,Nos,OEM,,BELT
547,LCCH30032,ALLEN HEAD BOLT SS M10 x 16,,Nos,OEM,,FASTENERS
548,LAHC14347,BAG FILTER EU9 GRADE - 592 MM (W) x 592 MM (H) x 635MM (D),,Nos,OEM,BAG FILTER,FILTER
549,LAHC11067,FDA 315 CM KRUGER MAKE,,Nos,KRUGER,,FAN
550,LCCE26851,BHARATH BIJILEE 9.3 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1,,Nos,BHARATH BIJILEE,,MOTOR
551,LCCE26889,BHARATH BIJILEE 5.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1,,Nos,BHARATH BIJILEE,,MOTOR
552,LAHC11068,FDA 355 CM KRUGER MAKE,,Nos,KRUGER,,FAN
553,LAHC15524,FAN FLEXIBLE 9/9,,Nos,OEM,,ANTI-VIBRATIONS
554,LCCH30033,ALLEN HEAD BOLT SS M12 x 16,,Nos,OEM,,FASTENERS
555,LCCE26440,ABB 75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE3,,Nos,ABB,,MOTOR
556,LCCE26477,ABB 37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3,,Nos,ABB,,MOTOR
557,LAHC11069,FDA 400 CM KRUGER MAKE,,Nos,KRUGER,,FAN
558,LCCC13385,BELT A-115,,Nos,OEM,,BELT
559,LCCH30034,ALLEN HEAD BOLT GI M6 x 25,,Nos,OEM,,FASTENERS
560,LAHC24130,HRW 1200 - MS200,,Nos,DRI,,HEAT RECOVERY WHEEL
561,LCCE26928,BHARATH BIJILEE 3.7 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE2,,Nos,BHARATH BIJILEE,,MOTOR
562,LCCC13386,BELT A-116,,Nos,OEM,,BELT
563,LCCE26986,BHARATH BIJILEE 1.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3,,Nos,BHARATH BIJILEE,,MOTOR
564,LAHC11070,FDA 450 CM KRUGER MAKE,,Nos,KRUGER,,FAN
565,LCCC13387,BELT A-118,,Nos,OEM,,BELT
566,LCCH30035,ALLEN HEAD BOLT GI M8 x 25,,Nos,OEM,,FASTENERS
567,LAHC14348,BAG FILTER EU9 GRADE - 287 MM (W) x 592 MM (H) x 635MM (D),,Nos,OEM,BAG FILTER,FILTER
568,LAHC14350,BAG FILTER EU9 GRADE - 490 MM (W) x 592 MM (H) x 635MM (D),,Nos,OEM,BAG FILTER,FILTER
